,Variable,Mean_Loss,Std_Loss
0,MS_Zoning_RL,0.027715366332009456,0.00041822510424501983
1,Bsmt_Qual_Gd,0.027594712615432875,0.0007622859949507333
2,Condition_1_infrequent_sklearn,0.027096346944713696,0.0003146764639300156
3,Bsmt_Qual_TA,0.028692750311746715,0.0018812546341549353
4,Condition_1_Norm,0.027449652713423624,0.00043853224791101186
5,Enclosed_Porch,0.027604791221512107,0.0006672041090965509
6,Alley_No_Alley_Access,0.02716266700107463,0.00032786740844626013
7,Bsmt_Qual_Gd_x_Bsmt_Prop_c_,0.027199413105629157,0.0005035659335125648
8,Central_Air_Y,0.027037608633276047,0.00033894529458688527
9,House_Style_1Story,0.027281277442005737,0.0004901395010095833
10,Kitchen_Qual_TA,0.02802918957594787,0.0009167099172898873
11,Lot_Config_Inside,0.027652761026693375,0.0011662608981333616
12,Neighborhood_Crawfor_x_Gr_Liv_Area,0.026511010731272235,0.0003005436983302994
13,Full_Bath,0.028612882723161426,0.0009269016029067096
14,Garage_Finish_RFn,0.026978819894671352,0.0005826385601716132
15,Garage_Cars,0.029120028152442204,0.0009459440194914521
16,Overall_Qual_Good_or_Excellent,0.029171179397744516,0.0013701621767817052
17,Kitchen_Qual_Gd,0.028683781525483294,0.0010593706386023687
18,Neighborhood_NoRidge_x_Gr_Liv_Area,0.028686795630279417,0.000480128357074392
19,Antique_c_,0.03239107941861848,0.003215989788366468
20,Garage_Area,0.03119595042600056,0.0011175599589756402
21,Gr_Liv_A/Loot_A_c__x_Gr_Liv_A/Loot_A_c_,0.03034853007567367,0.002664244661203706
22,Year_Built,0.03265957244981581,0.0031607792891643286
23,Neighborhood_NridgHt_x_Gr_Liv_Area,0.027416153381353493,0.0005344365858009824
24,TotRms_AbvGrd,0.030818525756433443,0.0008940540555722793
25,Bedroom_AbvGr,0.029765890919452188,0.000844992049582314
26,Lot_Area,0.0284555877873881,0.0010338214337886655
27,Area_Per_Room_c_,0.030803109755803942,0.001244311294506713
28,2nd_Flr_SF,0.03195610750304696,0.0018557077070937536
29,Fireplaces,0.03193050029703739,0.0014741580152266842
30,Exter_Qual_Gd,0.030981272639934655,0.0017187595845965175
31,Total_Bsmt_SF,0.03469822493301394,0.0017488016077536624
32,1st_Flr_SF,0.03500731097259936,0.0022920197432105688
33,Gr_Liv_Area,0.03329114870530827,0.0013866518671254834
